"","taxa","q","Parameter","Eta2_partial","CI","CI_low","CI_high"
"65","CHIR",1,"temperature:temp_spike",0.917523430432754,0.95,0.916323318313727,1
"66","CHIR",1,"temperature:hydropeaking",0.77064159216025,0.95,0.767382454014904,1
"67","CHIR",1,"temperature:HFE",0.979662241640056,0.95,0.979365385761729,1
"68","CHIR",1,"temp_spike:hydropeaking",0.462139058515553,0.95,0.455554425304179,1
"69","CHIR",1,"temp_spike:HFE",0.927288035617661,0.95,0.926229629654785,1
"70","CHIR",1,"hydropeaking:HFE",0.00185099006957969,0.95,0.00107812936491491,1
"71","CHIR",1,"temperature:temp_spike:hydropeaking",0.0408005036103908,0.95,0.0368987735663291,1
"72","CHIR",1,"temperature:temp_spike:HFE",0.098895540622429,0.95,0.0932473362207938,1
"73","CHIR",1,"temperature:hydropeaking:HFE",0.0508270728677806,0.95,0.0465234919885063,1
"74","CHIR",1,"temp_spike:hydropeaking:HFE",0.00499212563244601,0.95,0.00366051860526993,1
"75","CHIR",1,"temperature:temp_spike:hydropeaking:HFE",0.00872645976780289,0.95,0.00693999156971465,1
"76","CHIR",2,"temperature",0.997646104594235,0.95,0.997859637068353,1
"77","CHIR",2,"temp_spike",0.99827492229219,0.95,0.9984315015582,1
"78","CHIR",2,"hydropeaking",0.949963778145343,0.95,0.949234355790508,1
"79","CHIR",2,"HFE",0.999239936153526,0.95,0.999308985119985,1
"80","CHIR",2,"temperature:temp_spike",0.993156717742238,0.95,0.993774961611602,1
"81","CHIR",2,"temperature:hydropeaking",0.950521679367998,0.95,0.949800174867958,1
"82","CHIR",2,"temperature:HFE",0.988389440213584,0.95,0.988215219221409,1
"83","CHIR",2,"temp_spike:hydropeaking",0.707773219697197,0.95,0.703700764693826,1
"84","CHIR",2,"temp_spike:HFE",0.98224490294086,0.95,0.981985757440553,1
"85","CHIR",2,"hydropeaking:HFE",0.960680807100701,0.95,0.960107318312435,1
"86","CHIR",2,"temperature:temp_spike:hydropeaking",0.985830776435601,0.95,0.985623762777819,1
"87","CHIR",2,"temperature:temp_spike:HFE",0.926034024443767,0.95,0.924957036780008,1
"88","CHIR",2,"temperature:hydropeaking:HFE",0.41646738899398,0.95,0.409565586747866,1
"89","CHIR",2,"temp_spike:hydropeaking:HFE",0.0187012775490711,0.95,0.0160689951603201,1
"90","CHIR",2,"temperature:temp_spike:hydropeaking:HFE",0.117582739310748,0.95,0.111635957161467,1
"91","CHIR",4,"temperature",0.9984007904327,0.95,0.998545961728644,1
"92","CHIR",4,"temp_spike",0.999320826366625,0.95,0.999382531299799,1
