"","taxon","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","1","temperature",0.224290684109004,0.95,0.241307451189123,1
"2","1","temp_spike",0.0372153274714831,0.95,0.040785077218169,1
"3","1","hydropeaking",0.000375275354088819,0.95,0.000367951815372089,1
"4","1","HFE",0.071705787739524,0.95,0.0783148040419272,1
"5","1","temperature:temp_spike",0.0290428338037052,0.95,0.0289794787128584,1
"6","1","temperature:hydropeaking",0.000273123389486633,0.95,0.000266853600773627,1
"7","1","temperature:HFE",0.0492007019968419,0.95,0.053855797890246,1
"8","1","temp_spike:hydropeaking",0.00972391011042972,0.95,0.00968691885532244,1
"9","1","temp_spike:HFE",0.0267049869347528,0.95,0.026644812664391,1
"10","1","hydropeaking:HFE",0.00851194190926121,0.95,0.00847728205703138,1
"11","1","temperature:temp_spike:hydropeaking",0.00388026562887883,0.95,0.00385671304219884,1
"12","1","temperature:temp_spike:HFE",0.00675508559709523,0.95,0.00672411847262211,1
"13","1","temperature:hydropeaking:HFE",0.00744508502064914,0.95,0.00741260247421584,1
"14","1","temp_spike:hydropeaking:HFE",0.0100385197581531,0.95,0.0100009491557471,1
"15","1","temperature:temp_spike:hydropeaking:HFE",0.00194296868459539,0.95,0.00192626469538661,1
"16","2","temperature",0.0253861268368162,0.95,0.0253274406750295,1
"17","2","temp_spike",0.0606567400829135,0.95,0.0663201377553956,1
"18","2","hydropeaking",0.417466197994666,0.95,0.44081047067139,1
"19","2","HFE",0.0345545146948273,0.95,0.0378790768525372,1
"20","2","temperature:temp_spike",0.111347518937949,0.95,0.121133479590472,1
"21","2","temperature:hydropeaking",0.071539455847647,0.95,0.0781344319578885,1
"22","2","temperature:HFE",0.0124469231246072,0.95,0.0124051844280164,1
"23","2","temp_spike:hydropeaking",0.316020383255293,0.95,0.33697337603663,1
"24","2","temp_spike:HFE",0.220238724698078,0.95,0.237042014079806,1
"25","2","hydropeaking:HFE",0.356114332005462,0.95,0.378255543196722,1
"26","2","temperature:temp_spike:hydropeaking",0.191109931051297,0.95,0.206278732717724,1
"27","2","temperature:temp_spike:HFE",0.0229099137984934,0.95,0.0228540287511119,1
"28","2","temperature:hydropeaking:HFE",0.00171322834063209,0.95,0.00169753904464254,1
"29","2","temp_spike:hydropeaking:HFE",0.139864368637102,0.95,0.151728662147274,1
"30","2","temperature:temp_spike:hydropeaking:HFE",0.000426491883450858,0.95,0.000418656134821188,1
"31","3","temperature",0.0992989080709995,0.95,0.108154833194221,1
"32","3","temp_spike",0.0401706151244585,0.95,0.0440108822158263,1
"33","3","hydropeaking",4.19911144578266e-05,0.95,3.95643746717023e-05,1
"34","3","HFE",0.131134320514232,0.95,0.142380653540021,1
"35","3","temperature:temp_spike",0.00782905704328242,0.95,0.00779576325263509,1
"36","3","temperature:hydropeaking",0.0100893782448608,0.95,0.0100516887715686,1
"37","3","temperature:HFE",0.0662368917817288,0.95,0.0723811507152056,1
"38","3","temp_spike:hydropeaking",0.049088776038342,0.95,0.053733880599136,1
"39","3","temp_spike:HFE",0.0524350369468215,0.95,0.0573776805614872,1
"40","3","hydropeaking:HFE",0.0518276846671547,0.95,0.0567165046221721,1
"41","3","temperature:temp_spike:hydropeaking",0.0111213363798721,0.95,0.0110818172856864,1
"42","3","temperature:temp_spike:HFE",0.0185896082048496,0.95,0.0185389928238986,1
"43","3","temperature:hydropeaking:HFE",0.00896738603084875,0.95,0.00893180424280739,1
"44","3","temp_spike:hydropeaking:HFE",0.0349820742988987,0.95,0.0383461389804994,1
"45","3","temperature:temp_spike:hydropeaking:HFE",0.00663163633803218,0.95,0.00660094883447497,1
"46","4","temperature",0.0575547225339427,0.95,0.0629478998960756,1
"47","4","temp_spike",0.0409319501609322,0.95,0.0448415997643563,1
"48","4","hydropeaking",0.027117835813289,0.95,0.0270571658269954,1
"49","4","HFE",0.140217900927997,0.95,0.152106880273925,1
"50","4","temperature:temp_spike",0.00784320496808764,0.95,0.00780988169243957,1
"51","4","temperature:hydropeaking",0.00279434824453579,0.95,0.0027743354996977,1
"52","4","temperature:HFE",0.00511991239383968,0.95,0.00509289844624214,1
"53","4","temp_spike:hydropeaking",0.00029912726367711,0.95,0.000292592078124396,1
"54","4","temp_spike:HFE",0.000828403180301482,0.95,0.000817510829463137,1
"55","4","hydropeaking:HFE",0.0011069686335267,0.95,0.0010943761274797,1
"56","4","temperature:temp_spike:hydropeaking",0.0132360220202028,0.95,0.0131930231930502,1
"57","4","temperature:temp_spike:HFE",0.00145613511090172,0.95,0.00144166695980543,1
"58","4","temperature:hydropeaking:HFE",0.00089685198464938,0.95,0.00088549149346392,1
"59","4","temp_spike:hydropeaking:HFE",0.000916971739028165,0.95,0.000905511275499143,1
"60","4","temperature:temp_spike:hydropeaking:HFE",0.00102629883783492,0.95,0.00101414740700785,1
"61","5","temperature",0.0242278965588802,0.95,0.0241705121253692,1
"62","5","temp_spike",0.00030858973741355,0.95,0.000301951506130668,1
"63","5","hydropeaking",0.145414032665958,0.95,0.157662797612334,1
"64","5","HFE",0.209134422668355,0.95,0.225335327571348,1
"65","5","temperature:temp_spike",0.00099635615494499,0.95,0.000984382989718245,1
"66","5","temperature:hydropeaking",0.00207342508360184,0.95,0.0020561719239478,1
"67","5","temperature:HFE",0.00578399843636521,0.95,0.0057553092999241,1
"68","5","temp_spike:hydropeaking",0.000103367525834417,0.95,9.95397948302847e-05,1
"69","5","temp_spike:HFE",0.0254358665380092,0.95,0.0253771496147629,1
"70","5","hydropeaking:HFE",0.00120506465258524,0.95,0.00119192607673504,1
"71","5","temperature:temp_spike:hydropeaking",0.00951938087700603,0.95,0.00948274547231831,1
"72","5","temperature:temp_spike:HFE",0.00488968930020451,0.95,0.00486328232485384,1
"73","5","temperature:hydropeaking:HFE",0.000393652805232573,0.95,0.000386124839330493,1
"74","5","temp_spike:hydropeaking:HFE",0.00703376456412611,0.95,0.00700220232334131,1
"75","5","temperature:temp_spike:hydropeaking:HFE",0.00089337527272918,0.95,0.000882036796808682,1
