SampleID,HCOC,HYCA,HYCO,HYOC,HYOS,HYQU,CaptureDay,Seg,Latitude,Longitude,MeanTemp,RangeTemp,MeanQ,StageChange
L04386,0,0,0,0,0,0,216,C4,35.8840,-113.3096,13.45,7.73,363.76,57.75
L04391,0,0,0,0,0,0,191,C4,36.2361,-112.9607,12.88,6.75,363.76,74.59
L04491,0,0,0,0,0,0,262,C4,36.1010,-112.0843,11.67,5.05,348.61,71.95
L04610,0,0,0,0,0,0,244,C4,36.1748,-112.3084,11.92,5.39,348.61,75.60
L04611,0,0,0,0,0,0,245,C4,36.2657,-112.5297,12.22,5.83,348.61,72.82
L04615,0,0,0,0,0,0,204,C4,36.2786,-112.8759,12.78,6.62,363.76,75.17
L04616,0,0,0,0,0,0,202,C4,36.2331,-112.3398,11.99,5.50,348.61,77.12
L04622,0,0,0,0,0,0,190,C4,36.3385,-112.4552,12.33,5.97,348.61,69.59
L04623,0,0,0,0,0,0,189,C4,36.0979,-112.1812,11.77,5.18,348.61,72.55
L04736,0,0,0,0,0,0,243,C4,36.0666,-111.8890,11.47,4.76,348.61,63.98
L04895,0,0,0,0,0,0,210,C4,36.3015,-112.7867,12.70,6.50,363.76,73.53
L04896,0,0,0,0,0,0,209,C4,36.1948,-113.0890,12.99,6.92,363.76,71.27
L04897,0,0,0,0,1,0,211,C4,35.9161,-113.3349,13.41,7.65,363.76,58.71
L04902,0,0,0,0,1,0,283,C4,36.1921,-111.8033,11.27,4.47,348.61,52.88
L04903,0,0,0,0,0,0,284,C4,36.0549,-111.9960,11.58,4.92,348.61,68.59
L04904,0,0,0,0,0,0,285,C4,36.1010,-112.0838,11.67,5.05,348.61,71.94
L04905,0,0,0,0,0,0,286,C4,36.0978,-112.1807,11.77,5.18,348.61,72.55
L04906,0,0,0,0,1,0,287,C4,36.2376,-112.3455,11.99,5.50,348.61,77.29
L04907,0,0,0,0,0,0,290,C4,36.3474,-112.4551,12.33,5.97,348.61,69.29
L04908,0,0,0,0,0,0,291,C4,36.3772,-112.4813,12.37,6.03,348.61,68.00
L04909,0,0,0,0,0,0,228,C4,36.3527,-112.4555,12.34,5.99,348.61,69.11
L04910,0,0,0,0,0,0,226,C4,36.1064,-112.2229,11.80,5.22,348.61,73.10
L04913,0,0,0,0,0,0,202,C4,36.0448,-111.9185,11.51,4.81,348.61,65.52
L04915,0,0,0,0,0,0,226,C4,36.3484,-112.4552,12.34,5.99,348.61,69.26
L04916,0,0,0,0,0,0,222,C4,36.1078,-111.8265,11.36,4.61,348.61,58.18
L04923,0,0,0,0,0,0,205,C4,36.2582,-112.9208,12.84,6.69,363.76,74.96
L04924,0,0,0,0,0,0,204,C4,36.3016,-112.7866,12.70,6.50,363.76,73.53
L04925,0,0,0,0,0,0,203,C4,36.3916,-112.5224,12.41,6.09,348.61,67.03
L04926,0,0,0,0,0,0,202,C4,36.2383,-112.4666,12.15,5.73,348.61,76.20
L04927,0,0,0,0,0,0,201,C4,36.0979,-112.1808,11.77,5.18,348.61,72.55
L04928,0,0,0,0,0,0,200,C4,36.0838,-112.0412,11.63,4.98,348.61,70.64
L04936,0,0,0,0,0,0,201,C4,36.1802,-111.8138,11.29,4.49,348.61,53.88
L04937,0,0,0,0,0,0,202,C4,36.2118,-112.4243,12.08,5.62,348.61,77.89
L04938,0,0,0,0,0,0,203,C4,36.3128,-112.7606,12.68,6.46,348.61,73.01
