SampleID,HCOC,HYCA,HYCO,HYOC,HYOS,HYQU,CaptureDay,Seg,Latitude,Longitude,MeanTemp,RangeTemp,MeanQ,StageChange
L05538,0,0,0,0,0,0,321,C4,36.0676,-111.8822,11.46,4.74,348.61,63.77
L05540,0,0,0,0,0,0,286,C4,36.0292,-113.7948,14.01,8.88,363.76,54.86
L05541,0,0,0,0,0,0,287,C4,36.0292,-113.7948,14.01,8.88,363.76,54.86
L05547,0,0,0,0,0,0,272,C4,35.9161,-113.3349,13.41,7.65,363.76,58.71
L05549,0,0,0,0,0,0,266,C4,36.1085,-112.2254,11.81,5.24,348.61,73.17
L05550,0,0,0,0,3,0,268,C4,36.3686,-112.4664,12.35,6.01,348.61,68.48
L05566,0,0,0,0,0,0,254,C4,36.2376,-112.3453,11.99,5.50,348.61,77.28
L05567,0,0,0,0,0,0,255,C4,36.3916,-112.5224,12.41,6.09,348.61,67.03
L05568,0,0,0,0,0,0,256,C4,36.1450,-113.2006,13.09,7.10,363.76,67.14
L05569,0,0,0,0,0,0,257,C4,35.8235,-113.6464,13.82,8.49,363.76,54.86
L05573,0,0,0,0,0,0,284,C4,35.8839,-113.3097,13.45,7.73,363.76,57.75
L05574,0,0,0,0,0,0,283,C4,36.0517,-113.3494,13.27,7.41,363.76,62.44
L05575,0,0,0,0,1,0,281,C4,36.2785,-112.8760,12.78,6.62,363.76,75.17
L05577,0,0,0,0,0,0,100,C4,36.2393,-112.4728,12.17,5.75,348.61,75.99
L05578,0,0,0,0,0,0,104,C4,36.3421,-112.6828,12.56,6.31,348.61,69.77
L05580,0,0,0,0,0,0,106,C4,36.2377,-113.0145,12.92,6.81,363.76,73.69
L05581,0,0,0,0,0,0,107,C4,36.1071,-113.2157,13.14,7.19,363.76,66.03
L05582,0,0,0,0,0,0,293,C4,36.1948,-113.0890,12.99,6.92,363.76,71.27
L05583,0,0,0,0,0,0,294,C4,36.1438,-113.2010,13.10,7.12,363.76,67.10
L05590,0,0,0,0,0,0,83,C4,36.0666,-111.8872,11.46,4.74,348.61,63.93
L05594,0,0,0,0,0,0,288,C4,36.1174,-112.2306,11.81,5.24,348.61,73.44
L05636,0,0,0,0,0,0,152,C4,36.2581,-112.9209,12.84,6.69,363.76,74.96
L05658,0,0,0,0,0,0,55,C4,36.1010,-112.0842,11.67,5.05,348.61,71.95
L05659,0,0,0,0,0,0,57,C4,36.1010,-112.0842,11.67,5.05,348.61,71.95
L05660,0,0,0,0,0,0,60,C4,36.2791,-112.8748,12.78,6.62,363.76,75.17
L05661,0,0,0,0,0,0,62,C4,36.2791,-112.8748,12.78,6.62,363.76,75.17
L05662,0,0,0,0,0,0,63,C4,35.7667,-113.3734,13.57,7.98,363.76,54.86
L05663,0,0,0,0,0,0,61,C4,36.2791,-112.8748,12.78,6.62,363.76,75.17
L05664,0,0,0,0,0,0,109,C4,35.8839,-113.3097,13.45,7.73,363.76,57.75
L05719,0,0,0,0,1,0,115,C4,36.3640,-112.4615,12.35,6.01,348.61,68.69
L05720,0,0,0,0,4,0,124,C4,35.8051,-113.3334,13.52,7.88,363.76,55.78
L05721,0,0,0,0,1,0,122,C4,35.9875,-113.3406,13.34,7.52,363.76,60.78
L05724,0,0,0,0,2,0,121,C4,36.1612,-113.1752,13.07,7.06,363.76,68.06
L05725,0,0,0,0,0,0,120,C4,36.2385,-113.0131,12.92,6.81,363.76,73.72
L05726,0,0,0,0,0,0,118,C4,36.2782,-112.8764,12.78,6.62,363.76,75.17
L05727,0,0,0,0,0,0,117,C4,36.3423,-112.6830,12.56,6.31,348.61,69.78
L05728,0,0,0,0,3,0,116,C4,36.3912,-112.5209,12.41,6.09,348.61,67.06
L05729,0,0,0,0,0,0,119,C4,36.2783,-112.8763,12.78,6.62,363.76,75.17
L05730,0,0,0,0,1,0,114,C4,36.2231,-112.4556,12.14,5.71,348.61,76.74
L05733,0,0,0,0,1,0,111,C4,36.0550,-111.9962,11.58,4.92,348.61,68.60
L05736,0,0,0,0,0,0,109,C4,36.1508,-111.8152,11.32,4.54,348.61,56.07
L05738,0,0,0,0,0,0,328,C4,36.1026,-111.8300,11.38,4.63,348.61,58.59
L05744,0,0,0,0,0,0,342,C4,35.8224,-113.5706,13.75,8.34,363.76,54.86
L05745,0,0,0,0,0,0,341,C4,35.7760,-113.3580,13.56,7.96,363.76,54.98
L05747,0,0,0,0,0,0,336,C4,36.2787,-112.8757,12.78,6.62,363.76,75.17
L05748,0,0,0,0,0,0,335,C4,36.2787,-112.8757,12.78,6.62,363.76,75.17
L05749,0,0,0,0,0,0,333,C4,36.3930,-112.5247,12.41,6.09,348.61,66.98
L05750,0,0,0,0,0,0,332,C4,36.2709,-112.5239,12.24,5.85,348.61,72.45
L05752,0,0,0,0,0,0,330,C4,36.0983,-112.1825,11.77,5.18,348.61,72.56
L05755,0,0,0,0,0,0,325,C4,36.0896,-113.2537,13.18,7.25,363.76,65.04
L05762,0,0,0,0,0,0,316,C4,36.0665,-111.8896,11.47,4.76,348.61,64.00
L05766,0,0,0,0,0,0,322,C4,36.3888,-112.5127,12.40,6.07,348.61,67.21
L05767,0,0,0,0,0,0,323,C4,36.2783,-112.8512,12.77,6.60,363.76,75.04
L05768,0,0,0,0,0,0,326,C4,35.8336,-113.3272,13.50,7.83,363.76,56.51
L05769,0,0,0,0,0,0,315,C4,36.1403,-111.8162,11.33,4.56,348.61,56.71
L05790,0,0,0,0,0,0,90,C4,36.3416,-112.6811,12.56,6.31,348.61,69.71
L05791,0,0,0,0,0,0,91,C4,36.3016,-112.7866,12.70,6.50,363.76,73.53
L05797,0,0,0,0,0,0,93,C4,36.2351,-112.9677,12.88,6.75,363.76,74.51
L05798,0,0,0,0,0,0,147,C4,36.1452,-113.2006,13.09,7.10,363.76,67.14
L05799,0,0,0,0,0,0,146,C4,36.2787,-112.8757,12.78,6.62,363.76,75.17
L05804,0,0,0,0,0,0,332,C4,36.0809,-112.0329,11.61,4.96,348.61,70.35
L05809,0,0,0,0,0,0,148,C4,36.0931,-113.3226,13.23,7.34,363.76,63.61
L05811,0,0,0,0,0,0,340,C4,35.9690,-113.3174,13.36,7.56,363.76,60.10
L05815,0,0,0,0,0,0,331,C4,36.0732,-111.8720,11.46,4.74,348.61,63.40
L06135,0,0,0,0,0,0,213,C4,36.1494,-111.8157,11.32,4.54,348.61,56.16
L06200,0,0,0,0,0,0,144,C4,36.1614,-111.8118,11.30,4.52,348.61,55.31
L06201,0,0,0,0,0,0,145,C4,36.0813,-112.0339,11.63,4.98,348.61,70.38
L06202,0,0,0,0,0,0,147,C4,36.3877,-112.6420,12.51,6.23,348.61,67.67
L06203,0,0,0,0,0,0,149,C4,36.1991,-113.0783,12.97,6.90,363.76,71.61
L06204,0,0,0,0,0,0,150,C4,36.1704,-113.1260,13.03,6.99,363.76,69.80
L06205,0,0,0,0,0,0,151,C4,36.1704,-113.1260,13.03,6.99,363.76,69.80
L06206,0,0,0,0,2,0,152,C4,36.0881,-113.3238,13.23,7.34,363.76,63.49
L06207,0,0,0,0,0,0,148,C4,36.2578,-112.9230,12.84,6.69,363.76,74.95
L06219,0,0,0,0,0,0,107,C4,36.0467,-111.9333,11.52,4.83,348.61,66.08
L06221,0,0,0,0,0,0,109,C4,36.0874,-111.8715,11.43,4.70,348.61,62.21
L06229,0,0,0,0,0,0,118,C4,36.1005,-113.2191,13.14,7.19,363.76,65.86
L06233,0,0,0,0,0,0,148,C4,36.1075,-111.8264,11.36,4.61,348.61,58.20
L06234,0,0,0,0,0,0,148,C4,36.1010,-112.0838,11.67,5.05,348.61,71.94
L06235,0,0,0,0,1,0,114,C4,36.3880,-112.5069,12.40,6.07,348.61,67.33
L06259,0,0,0,0,0,0,99,C4,36.0665,-111.8897,11.47,4.76,348.61,64.01
L06260,0,0,0,0,0,0,100,C4,36.1010,-112.0842,11.67,5.05,348.61,71.95
L06261,0,0,0,0,0,0,101,C4,36.2270,-112.3373,11.98,5.48,348.61,76.95
L06262,0,0,0,0,4,0,103,C4,36.3912,-112.5209,12.41,6.09,348.61,67.06
L06263,0,0,0,0,0,0,104,C4,36.2790,-112.8751,12.78,6.62,363.76,75.17
L06266,0,0,0,0,0,0,107,C4,35.8306,-113.3258,13.50,7.83,363.76,56.44
L06275,0,0,0,0,1,0,143,C4,35.7676,-113.3721,13.57,7.98,363.76,54.86
L06281,0,0,0,0,4,0,128,C4,36.1394,-111.8164,11.33,4.56,348.61,56.76
L06285,0,0,0,0,0,0,151,C4,36.2429,-112.4952,12.18,5.77,348.61,75.13
L06286,0,0,0,0,0,0,135,C4,36.1991,-113.0787,12.99,6.92,363.76,71.60
L06288,0,0,0,0,9,0,136,C4,36.0759,-113.3275,13.25,7.36,363.76,63.18
L06290,0,0,0,0,0,0,148,C4,36.1798,-111.8137,11.29,4.49,348.61,53.91
L06292,0,0,0,0,0,0,150,C4,36.0979,-112.1810,11.77,5.18,348.61,72.55
L06294,0,0,0,0,0,0,153,C4,36.3472,-112.7220,12.61,6.37,348.61,71.29
L06298,0,0,0,0,0,0,157,C4,36.1094,-113.2137,13.13,7.17,363.76,66.09
L06302,0,0,0,0,0,0,202,C4,36.1576,-113.1849,13.08,7.08,363.76,67.77
L06303,0,0,0,0,0,0,200,C4,36.2431,-112.3586,12.01,5.52,348.61,77.61
L06333,0,0,0,0,1,0,111,C4,36.1505,-111.8152,11.32,4.54,348.61,56.09
L06335,0,0,0,0,1,0,113,C4,36.1059,-112.1530,11.74,5.14,348.61,72.47
L06336,0,0,0,0,3,0,114,C4,36.2367,-112.3426,11.99,5.50,348.61,77.23
L06337,0,0,0,0,0,0,115,C4,36.2833,-112.5035,12.25,5.87,348.61,71.51
L06338,0,0,0,0,1,0,116,C4,36.3474,-112.4551,12.33,5.97,348.61,69.29
L06339,0,0,0,0,1,0,117,C4,36.3877,-112.6422,12.51,6.23,348.61,67.68
L06340,0,0,0,0,0,0,119,C4,36.2582,-112.9208,12.84,6.69,363.76,74.96
L06341,0,0,0,0,1,0,119,C4,36.1184,-113.2017,13.12,7.14,363.76,66.40
L06342,0,0,0,0,6,0,120,C4,35.8305,-113.3258,13.50,7.83,363.76,56.43
L06343,0,0,0,0,1,0,156,C4,35.8222,-113.5703,13.75,8.34,363.76,54.86
L06345,0,0,0,0,0,0,155,C4,35.8222,-113.5703,13.75,8.34,363.76,54.86
L06357,0,0,0,0,0,0,122,C4,36.2235,-112.4556,12.14,5.71,348.61,76.73
L06359,0,0,0,0,0,0,124,C4,36.3982,-112.5351,12.42,6.11,348.61,66.82
L06361,0,0,0,0,0,0,125,C4,36.3016,-112.7866,12.70,6.50,363.76,73.53
L06362,0,0,0,0,0,0,182,C4,36.1704,-113.1260,13.03,6.99,363.76,69.80
L06363,0,0,0,0,7,0,183,C4,36.0931,-113.3226,13.23,7.34,363.76,63.61
L06364,0,0,0,0,3,0,184,C4,35.8299,-113.3258,13.50,7.83,363.76,56.42
L06376,0,0,0,0,1,0,163,C4,36.1401,-111.8162,11.33,4.56,348.61,56.72
L06377,0,0,0,0,0,0,164,C4,36.0838,-112.0412,11.63,4.98,348.61,70.64
L06379,0,0,0,0,0,0,166,C4,36.2234,-112.4556,12.14,5.71,348.61,76.73
L06380,0,0,0,0,0,0,167,C4,36.3484,-112.4552,12.34,5.99,348.61,69.26
L06382,0,0,0,0,0,0,181,C4,36.0471,-111.9044,11.49,4.79,348.61,64.98
L06416,0,0,0,0,0,0,113,C4,36.1948,-113.0888,12.99,6.92,363.76,71.27
L06417,0,0,0,0,0,0,114,C4,36.0936,-113.3220,13.23,7.34,363.76,63.62
L06418,0,0,0,0,5,0,115,C4,35.8842,-113.3096,13.45,7.73,363.76,57.76
L06423,0,0,0,0,0,0,112,C4,36.3431,-112.7263,12.61,6.37,348.61,71.48
L06424,0,0,0,0,2,0,109,C4,36.3369,-112.4561,12.33,5.97,348.61,69.65
L06425,0,0,0,0,1,0,108,C4,36.3140,-112.4802,12.30,5.93,348.61,70.57
L06426,0,0,0,0,0,0,110,C4,36.3882,-112.5074,12.40,6.07,348.61,67.31
L06427,0,0,0,0,0,0,111,C4,36.3463,-112.7236,12.61,6.37,348.61,71.35
L06428,0,0,0,0,0,0,107,C4,36.1345,-112.2437,11.84,5.29,348.61,74.06
L06429,0,0,0,0,0,0,106,C4,36.1008,-112.0828,11.67,5.05,348.61,71.92
L06430,0,0,0,0,7,0,105,C4,36.0851,-111.8771,11.43,4.70,348.61,62.57
L06431,0,0,0,0,0,0,100,C4,36.1062,-112.1464,11.74,5.14,348.61,72.46
L06432,0,0,0,0,0,0,101,C4,36.2442,-112.5089,12.20,5.79,348.61,74.53
L06433,0,0,0,0,0,0,102,C4,36.3916,-112.5222,12.41,6.09,348.61,67.03
L06435,0,0,0,0,2,0,175,C4,35.7735,-113.3627,13.56,7.96,363.76,54.88
L06437,0,0,0,0,0,0,223,C4,36.1946,-113.0897,12.99,6.92,363.76,71.25
L06439,0,0,0,0,0,0,246,C4,36.0548,-111.9957,11.58,4.92,348.61,68.58
L06447,0,0,0,0,0,0,249,C4,36.2791,-112.8748,12.78,6.62,363.76,75.17
L06449,0,0,0,0,0,0,222,C4,36.3638,-112.4612,12.35,6.01,348.61,68.69
L06450,0,0,0,0,0,0,133,C4,36.3708,-112.6503,12.52,6.25,348.61,68.26
L06452,0,0,0,0,0,0,103,C4,36.1453,-113.2006,13.09,7.10,363.76,67.15
L06455,0,0,0,0,0,0,104,C4,35.8484,-113.6139,13.78,8.41,363.76,54.86
L06457,0,0,0,0,0,0,131,C4,36.2266,-112.3371,11.98,5.48,348.61,76.94
L06458,0,0,0,0,0,0,134,C4,36.1872,-113.1064,13.00,6.94,363.76,70.67
L06459,0,0,0,0,2,0,135,C4,35.7528,-113.3897,13.59,8.01,363.76,54.86
L06461,0,0,0,0,0,0,172,C4,36.2335,-112.3400,11.99,5.50,348.61,77.13
L06463,0,0,0,0,0,0,174,C4,36.1700,-113.1267,13.03,6.99,363.76,69.78
L06468,0,0,0,0,0,0,221,C4,36.2266,-112.3371,11.98,5.48,348.61,76.94
L06470,0,0,0,0,3,0,224,C4,35.7730,-113.3644,13.56,7.96,363.76,54.86
L06473,0,0,0,0,0,0,130,C4,36.0666,-111.8890,11.47,4.76,348.61,63.98
L06475,0,0,0,0,0,0,104,C4,36.3688,-112.4667,12.35,6.01,348.61,68.47
L06479,0,0,0,0,1,0,144,C4,36.2428,-112.3579,12.01,5.52,348.61,77.60
L06480,0,0,0,0,0,0,145,C4,36.3983,-112.5354,12.42,6.11,348.61,66.81
L06481,0,0,0,0,0,0,146,C4,36.2377,-113.0143,12.92,6.81,363.76,73.69
L06482,0,0,0,0,3,0,147,C4,35.8333,-113.3270,13.50,7.83,363.76,56.50
L06484,0,0,0,0,1,0,171,C4,36.1076,-111.8264,11.36,4.61,348.61,58.19
L06486,0,0,0,0,0,0,175,C4,35.8138,-113.3297,13.52,7.88,363.76,55.99
L06488,0,0,0,0,0,0,173,C4,36.3916,-112.5224,12.41,6.09,348.61,67.03
L06489,0,0,0,0,3,0,110,C4,35.7733,-113.5222,13.68,8.21,363.76,54.86
L06490,0,0,0,0,0,0,109,C4,35.9892,-113.3408,13.34,7.52,363.76,60.82
L06491,0,0,0,0,0,0,108,C4,36.1949,-113.0881,12.99,6.92,363.76,71.29
L06492,0,0,0,0,0,0,103,C4,36.2476,-112.5213,12.21,5.81,348.61,73.92
L06498,0,0,0,0,0,0,172,C4,36.2427,-112.3578,12.01,5.52,348.61,77.60
L06513,0,0,0,0,0,0,201,C4,36.2377,-113.0145,12.92,6.81,363.76,73.69
L06514,0,0,0,0,0,0,200,C4,36.3774,-112.4819,12.37,6.03,348.61,67.98
L06515,0,0,0,0,0,0,198,C4,36.0665,-111.8899,11.47,4.76,348.61,64.01
L06520,0,0,0,0,3,0,120,C4,35.8329,-113.3268,13.50,7.83,363.76,56.50
L06521,0,0,0,0,1,0,119,C4,36.0924,-113.3229,13.23,7.34,363.76,63.59
L06526,0,0,0,0,0,0,117,C4,36.1439,-113.2010,13.09,7.10,363.76,67.11
L06527,0,0,0,0,0,0,116,C4,36.2583,-112.9179,12.83,6.67,363.76,74.98
L06528,0,0,0,0,1,0,115,C4,36.3464,-112.7235,12.61,6.37,348.61,71.34
L06529,0,0,0,0,0,0,114,C4,36.3991,-112.5689,12.44,6.13,348.61,66.64
L06530,0,0,0,0,1,0,113,C4,36.3991,-112.5689,12.44,6.13,348.61,66.64
L06531,0,0,0,0,0,0,111,C4,36.2708,-112.5240,12.24,5.85,348.61,72.45
L06532,0,0,0,0,0,0,110,C4,36.2375,-112.3448,11.99,5.50,348.61,77.27
L06534,0,0,0,0,0,0,108,C4,36.1079,-112.2247,11.80,5.22,348.61,73.15
L06545,0,0,0,0,0,0,136,C4,36.1403,-111.8162,11.33,4.56,348.61,56.71
L06547,0,0,0,0,0,0,138,C4,36.2381,-112.4663,12.15,5.73,348.61,76.21
L06548,0,0,0,0,0,0,139,C4,36.3640,-112.4615,12.35,6.01,348.61,68.69
L06549,0,0,0,0,0,0,140,C4,36.3746,-112.6500,12.52,6.25,348.61,68.14
L06550,0,0,0,0,0,0,141,C4,36.3472,-112.7220,12.61,6.37,348.61,71.29
L06551,0,0,0,0,0,0,142,C4,36.2581,-112.9209,12.84,6.69,363.76,74.96
L06553,0,0,0,0,2,0,144,C4,35.8333,-113.3270,13.50,7.83,363.76,56.50
L06568,0,0,0,0,1,0,126,C4,36.1508,-111.8152,11.32,4.54,348.61,56.07
L06569,0,0,0,0,0,0,127,C4,36.1010,-112.0840,11.67,5.05,348.61,71.95
L06571,0,0,0,0,0,0,128,C4,36.1363,-112.2462,11.84,5.29,348.61,74.14
L06574,0,0,0,0,1,0,129,C4,36.2283,-112.4571,12.14,5.71,348.61,76.61
L06575,0,0,0,0,0,0,130,C4,36.3889,-112.5132,12.40,6.07,348.61,67.20
L06578,0,0,0,0,0,0,132,C4,36.3018,-112.7863,12.70,6.50,363.76,73.52
L06580,0,0,0,0,0,0,133,C4,36.1184,-113.2017,13.12,7.14,363.76,66.40
L06589,0,0,0,0,1,0,133,C4,36.1076,-111.8264,11.36,4.61,348.61,58.19
L06590,0,0,0,0,0,0,104,C4,36.0665,-111.8894,11.47,4.76,348.61,63.99
L06591,0,0,0,0,1,0,105,C4,36.0838,-112.0412,11.63,4.98,348.61,70.64
L06592,0,0,0,0,0,0,106,C4,36.1085,-112.2254,11.81,5.24,348.61,73.17
L06593,0,0,0,0,1,0,107,C4,36.2332,-112.3399,11.99,5.50,348.61,77.12
L06594,0,0,0,0,0,0,108,C4,36.2473,-112.5201,12.21,5.81,348.61,73.98
L06595,0,0,0,0,0,0,109,C4,36.3803,-112.4898,12.38,6.05,348.61,67.76
L06596,0,0,0,0,1,0,110,C4,36.3917,-112.5225,12.41,6.09,348.61,67.03
L06597,0,0,0,0,0,0,111,C4,36.3016,-112.7866,12.70,6.50,363.76,73.53
L06598,0,0,0,0,0,0,112,C4,36.1947,-113.0893,12.99,6.92,363.76,71.26
L06599,0,0,0,0,3,0,113,C4,36.0893,-113.2543,13.18,7.25,363.76,65.03
L06600,0,0,0,0,0,0,114,C4,35.8334,-113.3271,13.50,7.83,363.76,56.51
L06604,0,0,0,0,4,0,282,C4,36.1026,-111.8296,11.38,4.63,348.61,58.57
L06605,0,0,0,0,0,0,283,C4,36.0837,-112.0410,11.63,4.98,348.61,70.63
L06606,0,0,0,0,1,0,284,C4,36.1336,-112.2402,11.84,5.29,348.61,73.97
L06617,0,0,0,0,0,0,270,C4,36.1949,-113.0883,12.99,6.92,363.76,71.29
L06618,0,0,0,0,3,0,271,C4,36.0931,-113.3226,13.23,7.34,363.76,63.61
L06619,0,0,0,0,13,0,272,C4,35.8049,-113.3334,13.52,7.88,363.76,55.78
L06631,0,0,0,0,0,0,262,C4,36.1264,-111.8215,11.35,4.58,348.61,57.34
L06633,0,0,0,0,0,0,264,C4,36.1336,-112.2402,11.84,5.29,348.61,73.97
L06634,0,0,0,0,0,0,265,C4,36.2328,-112.3397,11.99,5.50,348.61,77.11
L06635,0,0,0,0,0,0,266,C4,36.2669,-112.5292,12.22,5.83,348.61,72.75
L06636,0,0,0,0,0,0,267,C4,36.3482,-112.4552,12.20,5.79,348.61,74.72
L06637,0,0,0,0,0,0,268,C4,36.3877,-112.6420,12.51,6.23,348.61,67.67
L06638,0,0,0,0,0,0,269,C4,36.3018,-112.7863,12.70,6.50,363.76,73.52
L06653,0,0,0,0,3,0,106,C4,35.8329,-113.3268,13.50,7.83,363.76,56.50
L06654,0,0,0,0,0,0,107,C4,35.7939,-113.5415,13.71,8.26,363.76,54.86
L06655,0,0,0,0,1,0,108,C4,36.0471,-113.8094,14.01,8.88,363.76,54.86
L06658,0,0,0,0,1,0,134,C4,36.0838,-112.0413,11.63,4.98,348.61,70.65
L06659,0,0,0,0,0,0,135,C4,36.1342,-112.2423,11.84,5.29,348.61,74.02
L06661,0,0,0,0,0,0,137,C4,36.3910,-112.5204,12.41,6.09,348.61,67.06
L06662,0,0,0,0,0,0,138,C4,36.3018,-112.7863,12.70,6.50,363.76,73.52
L06663,0,0,0,0,1,0,140,C4,35.9157,-113.3351,13.41,7.65,363.76,58.70
L06664,0,0,0,0,0,0,141,C4,35.8489,-113.6132,13.78,8.41,363.76,54.86
L06665,0,0,0,0,0,0,155,C4,36.1081,-112.2249,11.81,5.24,348.61,73.16
L06666,0,0,0,0,0,0,139,C4,36.1450,-113.2006,13.09,7.10,363.76,67.14
L06675,0,0,0,0,0,0,153,C4,36.1645,-113.1699,13.07,7.06,363.76,68.24
L06676,0,0,0,0,0,0,152,C4,36.3016,-112.7866,12.70,6.50,363.76,73.53
L06677,0,0,0,0,0,0,152,C4,36.3910,-112.5204,12.41,6.09,348.61,67.06
L06678,0,0,0,0,0,0,182,C4,36.2383,-112.4666,12.15,5.73,348.61,76.20
L06679,0,0,0,0,0,0,150,C4,36.2383,-112.4666,12.15,5.73,348.61,76.20
L06680,0,0,0,0,0,0,149,C4,36.1342,-112.2423,11.84,5.29,348.61,74.02
L06684,0,0,0,0,0,0,120,C4,36.2785,-112.8760,12.78,6.62,363.76,75.17
L06687,0,0,0,0,0,0,117,C4,36.2396,-112.4710,12.17,5.75,348.61,76.05
L06715,0,0,0,0,0,0,209,C4,36.3464,-112.7235,12.61,6.37,348.61,71.34
L06741,0,0,0,0,0,0,141,C4,36.1008,-112.0829,13.09,7.10,363.76,67.47
L06742,0,0,0,0,0,0,143,C4,36.2231,-112.4556,12.14,5.71,348.61,76.74
L06744,0,0,0,0,0,0,142,C4,36.0979,-112.1814,11.77,5.18,348.61,72.55
L06745,0,0,0,0,0,0,146,C4,36.0534,-113.8628,14.01,8.88,363.76,54.86
L06754,0,0,0,0,0,0,120,C4,35.7569,-113.4480,13.64,8.11,363.76,54.86
L06762,0,0,0,0,0,0,145,C4,36.1791,-111.8140,11.29,4.49,348.61,53.96
L06764,0,0,0,0,0,0,148,C4,36.2376,-112.3451,11.99,5.50,348.61,77.28
L06794,0,0,0,0,0,0,142,C4,36.1417,-113.2022,13.10,7.12,363.76,67.04
L06796,0,0,0,0,0,0,140,C4,36.2785,-112.8760,12.78,6.62,363.76,75.17
L06799,0,0,0,0,0,0,137,C4,36.3472,-112.4551,12.33,5.97,348.61,69.30
L06800,0,0,0,0,0,0,136,C4,36.2396,-112.4712,12.17,5.75,348.61,76.05
L06806,0,0,0,0,0,0,135,C4,36.2268,-112.3372,11.98,5.48,348.61,76.94
L06851,0,0,0,0,0,0,133,C4,36.1342,-112.2424,11.84,5.29,348.61,74.03
L06852,0,0,0,0,0,0,134,C4,36.2395,-112.4714,12.17,5.75,348.61,76.04
L06853,0,0,0,0,0,0,135,C4,36.3472,-112.4551,12.33,5.97,348.61,69.30
L06854,0,0,0,0,0,0,136,C4,36.3917,-112.5225,12.41,6.09,348.61,67.03
L06855,0,0,0,0,0,0,136,C4,36.3017,-112.7864,12.70,6.50,363.76,73.52
L06856,0,0,0,0,0,0,138,C4,36.1949,-113.0883,12.99,6.92,363.76,71.29
L06857,0,0,0,0,0,0,139,C4,36.0931,-113.3226,13.23,7.34,363.76,63.61
L06858,0,0,0,0,1,0,141,C4,35.8334,-113.3271,13.50,7.83,363.76,56.51
L06902,0,0,0,0,0,0,187,C4,36.0855,-112.0449,11.63,4.98,348.61,70.77
L07083,0,0,0,0,0,0,252,C4,36.1085,-112.2254,11.81,5.24,348.61,73.17
L07084,0,0,0,0,0,0,251,C4,36.0841,-112.0420,11.63,4.98,348.61,70.67
L07090,0,0,0,0,0,0,250,C4,36.1403,-111.8162,11.33,4.56,348.61,56.71
L07313,0,0,0,0,0,0,178,C4,36.1011,-112.1039,11.69,5.07,348.61,72.27
L07318,0,0,0,0,0,0,159,C4,35.7508,-113.4195,13.61,8.06,363.76,54.86
L07320,0,0,0,0,0,0,160,C4,35.8638,-113.6671,13.85,8.56,363.76,54.86
L07321,0,0,0,0,0,0,127,C4,35.7742,-113.3612,13.56,7.96,363.76,54.91
L07322,0,0,0,0,8,0,152,C4,35.7676,-113.3721,13.57,7.98,363.76,54.86
L07324,0,0,0,0,0,0,154,C4,35.8544,-113.6628,13.85,8.56,363.76,54.86
L07325,0,0,0,0,0,0,153,C4,35.7565,-113.4463,13.64,8.11,363.76,54.86
L07326,0,0,0,0,0,0,155,C4,36.0922,-113.9056,14.01,8.88,363.76,54.86
L07337,0,0,0,0,0,0,160,C4,36.1184,-113.2017,13.12,7.14,363.76,66.40
L07339,0,0,0,0,2,0,158,C4,36.3877,-112.6422,12.51,6.23,348.61,67.68
L07340,0,0,0,0,0,0,157,C4,36.3484,-112.4552,12.34,5.99,348.61,69.26
L07342,0,0,0,0,0,0,156,C4,36.1081,-112.2249,11.81,5.24,348.61,73.16
L07343,0,0,0,0,0,0,155,C4,36.1010,-112.0843,11.67,5.05,348.61,71.95
L07344,0,0,0,0,0,0,154,C4,36.1010,-112.0843,11.67,5.05,348.61,71.95
L07417,0,0,0,0,2,0,185,C4,35.8333,-113.3270,13.50,7.83,363.76,56.50
L07429,0,0,0,0,0,0,194,C4,36.0838,-112.0413,11.63,4.98,348.61,70.65
L07430,0,0,0,0,0,0,196,C4,36.2668,-112.5292,12.22,5.83,348.61,72.76
L07431,0,0,0,0,0,0,197,C4,36.3777,-112.4826,12.37,6.03,348.61,67.96
L07436,0,0,0,0,3,0,164,C4,36.0875,-111.8643,11.43,4.70,348.61,61.79
L07437,0,0,0,0,0,0,165,C4,36.2431,-112.3586,12.01,5.52,348.61,77.61
L07438,0,0,0,0,0,0,166,C4,36.3432,-112.4547,12.33,5.97,348.61,69.43
L07439,0,0,0,0,0,0,167,C4,36.3876,-112.6423,12.51,6.23,348.61,67.68
L07440,0,0,0,0,0,0,168,C4,36.1553,-113.1914,13.08,7.08,363.76,67.58
L07443,0,0,0,0,0,0,178,C4,36.1010,-112.0836,11.67,5.05,348.61,71.94
L07444,0,0,0,0,0,0,181,C4,36.3416,-112.6811,12.56,6.31,348.61,69.71
L07445,0,0,0,0,0,0,182,C4,36.1646,-113.1697,13.07,7.06,363.76,68.24
L07448,0,0,0,0,0,0,191,C4,36.0875,-111.8643,11.43,4.70,348.61,61.79
L07449,0,0,0,0,0,0,192,C4,36.2236,-112.4556,12.14,5.71,348.61,76.73
L07450,0,0,0,0,0,0,194,C4,36.1700,-113.1267,13.03,6.99,363.76,69.78
L07453,0,0,0,0,0,0,212,C4,36.1804,-111.8138,11.29,4.49,348.61,53.87
L07454,0,0,0,0,0,0,214,C4,36.1165,-112.2301,11.81,5.24,348.61,73.41
L07457,0,0,0,0,0,0,218,C4,36.3416,-112.6813,12.56,6.31,348.61,69.72
