"StageGroup","Abundance","Parameter","SensitivityIncrement"
"S1_HYOS",48.9771867219924,"G2_BAET",-0.01
"S2_HYOS",13.5027485785507,"G2_BAET",-0.01
"S3_HYOS",0.792153795893034,"G2_BAET",-0.01
"S1_BAET",68.5362316897118,"G2_BAET",-0.01
"S2_BAET",10.6880752357046,"G2_BAET",-0.01
"S3_BAET",1.72518334169413,"G2_BAET",-0.01
"S1_NZMS",18772.2656412693,"G2_BAET",-0.01
"S2_NZMS",7501.27007999569,"G2_BAET",-0.01
"S3_NZMS",4289.9415785754,"G2_BAET",-0.01
"S1_CHIR",51.666242565371,"G2_BAET",-0.01
"S2_CHIR",9.72523915224671,"G2_BAET",-0.01
"S3_CHIR",4.47229319717053,"G2_BAET",-0.01
"S1_GAMM",36.5449596655946,"G2_BAET",-0.01
"S2_GAMM",18.3075939876004,"G2_BAET",-0.01
"S3_GAMM",5.35730831521956,"G2_BAET",-0.01
"S1_HYOS",52.0574874216033,"G2_NZMS",-0.01
"S2_HYOS",15.1681777281025,"G2_NZMS",-0.01
"S3_HYOS",0.605373855121262,"G2_NZMS",-0.01
"S1_BAET",56.7540696273673,"G2_NZMS",-0.01
"S2_BAET",9.53655660159608,"G2_NZMS",-0.01
"S3_BAET",2.00793142058629,"G2_NZMS",-0.01
"S1_NZMS",19617.1033907764,"G2_NZMS",-0.01
"S2_NZMS",7862.99454748712,"G2_NZMS",-0.01
"S3_NZMS",3943.2471983344,"G2_NZMS",-0.01
"S1_CHIR",51.4191493466371,"G2_NZMS",-0.01
"S2_CHIR",9.80902067786878,"G2_NZMS",-0.01
"S3_CHIR",4.38778005933032,"G2_NZMS",-0.01
"S1_GAMM",35.7750001132671,"G2_NZMS",-0.01
"S2_GAMM",18.3393149190115,"G2_NZMS",-0.01
"S3_GAMM",5.40229944200111,"G2_NZMS",-0.01
"S1_HYOS",49.4849521962132,"G2_GAMM",-0.01
"S2_HYOS",13.7439493542975,"G2_GAMM",-0.01
"S3_HYOS",0.755571742156846,"G2_GAMM",-0.01
"S1_BAET",58.4697820798674,"G2_GAMM",-0.01
"S2_BAET",9.75956059962113,"G2_GAMM",-0.01
"S3_BAET",2.03049417224082,"G2_GAMM",-0.01
"S1_NZMS",18795.8832829754,"G2_GAMM",-0.01
"S2_NZMS",7507.90917349286,"G2_GAMM",-0.01
"S3_NZMS",4293.90047959875,"G2_GAMM",-0.01
"S1_CHIR",50.9316018930435,"G2_GAMM",-0.01
"S2_CHIR",9.77312763545513,"G2_GAMM",-0.01
"S3_CHIR",4.44047456122036,"G2_GAMM",-0.01
"S1_GAMM",35.9333571082115,"G2_GAMM",-0.01
"S2_GAMM",17.9401151483064,"G2_GAMM",-0.01
"S3_GAMM",5.12315055529534,"G2_GAMM",-0.01
"S1_HYOS",49.0324847287694,"G2_CHIR",-0.01
"S2_HYOS",13.5124084927808,"G2_CHIR",-0.01
"S3_HYOS",0.792297799796642,"G2_CHIR",-0.01
"S1_BAET",54.9965421634589,"G2_CHIR",-0.01
"S2_BAET",9.44902473894767,"G2_CHIR",-0.01
"S3_BAET",2.27224788967796,"G2_CHIR",-0.01
"S1_NZMS",18772.5563410132,"G2_CHIR",-0.01
"S2_NZMS",7501.22188237182,"G2_CHIR",-0.01
"S3_NZMS",4289.90550325505,"G2_CHIR",-0.01
"S1_CHIR",51.6789148902736,"G2_CHIR",-0.01
"S2_CHIR",9.72506969816648,"G2_CHIR",-0.01
"S3_CHIR",4.45953321385132,"G2_CHIR",-0.01
"S1_GAMM",36.5592796368431,"G2_CHIR",-0.01
"S2_GAMM",18.3115215725052,"G2_CHIR",-0.01
"S3_GAMM",5.35778488985271,"G2_CHIR",-0.01
"S1_HYOS",57.1963439838652,"G1_HYOS",-0.009
"S2_HYOS",8.47257157040584,"G1_HYOS",-0.009
"S3_HYOS",0.980967249236796,"G1_HYOS",-0.009
"S1_BAET",62.2052554260999,"G1_HYOS",-0.009
"S2_BAET",9.98055571890156,"G1_HYOS",-0.009
"S3_BAET",1.93854493941342,"G1_HYOS",-0.009
"S1_NZMS",18770.8901899896,"G1_HYOS",-0.009
"S2_NZMS",7512.44669861635,"G1_HYOS",-0.009
"S3_NZMS",4305.87191002043,"G1_HYOS",-0.009
"S1_CHIR",49.4784159925363,"G1_HYOS",-0.009
"S2_CHIR",9.87683499684937,"G1_HYOS",-0.009
"S3_CHIR",4.25261803986262,"G1_HYOS",-0.009
"S1_GAMM",34.9520136173698,"G1_HYOS",-0.009
"S2_GAMM",18.0267755301975,"G1_HYOS",-0.009
"S3_GAMM",5.35420270608563,"G1_HYOS",-0.009
"S1_HYOS",48.9835251409834,"G1_BAET",-0.009
"S2_HYOS",13.504451663706,"G1_BAET",-0.009
"S3_HYOS",0.792034705020051,"G1_BAET",-0.009
"S1_BAET",68.8894156747168,"G1_BAET",-0.009
"S2_BAET",8.25969091391271,"G1_BAET",-0.009
"S3_BAET",1.95862842752782,"G1_BAET",-0.009
"S1_NZMS",18773.0194097783,"G1_BAET",-0.009
"S2_NZMS",7501.48013273106,"G1_BAET",-0.009
"S3_NZMS",4290.09634014518,"G1_BAET",-0.009
"S1_CHIR",51.671359492905,"G1_BAET",-0.009
"S2_CHIR",9.72512062621643,"G1_BAET",-0.009
"S3_CHIR",4.47225725959776,"G1_BAET",-0.009
"S1_GAMM",36.5488342839019,"G1_BAET",-0.009
"S2_GAMM",18.3094681604038,"G1_BAET",-0.009
"S3_GAMM",5.3577444749613,"G1_BAET",-0.009
"S1_HYOS",51.7840843541517,"G1_NZMS",-0.009
"S2_HYOS",14.9967424063471,"G1_NZMS",-0.009
"S3_HYOS",0.635524516608849,"G1_NZMS",-0.009
"S1_BAET",64.7587530827675,"G1_NZMS",-0.009
"S2_BAET",10.2027705736812,"G1_NZMS",-0.009
"S3_BAET",1.72468720677819,"G1_NZMS",-0.009
"S1_NZMS",23026.1883448218,"G1_NZMS",-0.009
"S2_NZMS",6949.23626169797,"G1_NZMS",-0.009
"S3_NZMS",3984.81620222642,"G1_NZMS",-0.009
"S1_CHIR",51.299378180713,"G1_NZMS",-0.009
"S2_CHIR",9.85040939466942,"G1_NZMS",-0.009
"S3_CHIR",4.30332362437157,"G1_NZMS",-0.009
"S1_GAMM",36.7922801596144,"G1_NZMS",-0.009
"S2_GAMM",19.7305798653467,"G1_NZMS",-0.009
"S3_GAMM",5.81528944153619,"G1_NZMS",-0.009
"S1_HYOS",51.0630044363566,"G1_GAMM",-0.009
"S2_HYOS",14.4668332515245,"G1_GAMM",-0.009
"S3_HYOS",0.652817587638607,"G1_GAMM",-0.009
"S1_BAET",65.6391712063854,"G1_GAMM",-0.009
"S2_BAET",10.4537375367109,"G1_GAMM",-0.009
"S3_BAET",1.85389526278593,"G1_GAMM",-0.009
"S1_NZMS",18698.8607554547,"G1_GAMM",-0.009
"S2_NZMS",7488.78092247455,"G1_GAMM",-0.009
"S3_NZMS",4280.34072995162,"G1_GAMM",-0.009
"S1_CHIR",50.8477301630846,"G1_GAMM",-0.009
"S2_CHIR",9.76846957118797,"G1_GAMM",-0.009
"S3_CHIR",4.49082043913989,"G1_GAMM",-0.009
"S1_GAMM",35.7542163460092,"G1_GAMM",-0.009
"S2_GAMM",17.2483067642904,"G1_GAMM",-0.009
"S3_GAMM",5.16528302116154,"G1_GAMM",-0.009
"S1_HYOS",49.027088782245,"G1_CHIR",-0.009
"S2_HYOS",13.5113880807783,"G1_CHIR",-0.009
"S3_HYOS",0.792318739453021,"G1_CHIR",-0.009
"S1_BAET",55.000906657437,"G1_CHIR",-0.009
"S2_BAET",9.44901133847213,"G1_CHIR",-0.009
"S3_BAET",2.27213484129059,"G1_CHIR",-0.009
"S1_NZMS",18772.7572625336,"G1_CHIR",-0.009
"S2_NZMS",7501.26747028577,"G1_CHIR",-0.009
"S3_NZMS",4289.92754805732,"G1_CHIR",-0.009
"S1_CHIR",51.6785645004853,"G1_CHIR",-0.009
"S2_CHIR",9.66753841738549,"G1_CHIR",-0.009
"S3_CHIR",4.47239463774448,"G1_CHIR",-0.009
"S1_GAMM",36.5619498302446,"G1_CHIR",-0.009
"S2_GAMM",18.3126177481408,"G1_CHIR",-0.009
"S3_GAMM",5.35799329254346,"G1_CHIR",-0.009
"S1_HYOS",52.2538703210938,"G2_HYOS",-0.009
"S2_HYOS",14.899621010369,"G2_HYOS",-0.009
"S3_HYOS",0.578478351373855,"G2_HYOS",-0.009
"S1_BAET",57.4904784030431,"G2_HYOS",-0.009
"S2_BAET",9.53771446896054,"G2_HYOS",-0.009
"S3_BAET",1.82715994759708,"G2_HYOS",-0.009
"S1_NZMS",18630.9895363168,"G2_HYOS",-0.009
"S2_NZMS",7463.3486850698,"G2_HYOS",-0.009
"S3_NZMS",4259.97975951546,"G2_HYOS",-0.009
"S1_CHIR",50.7628834893016,"G2_HYOS",-0.009
"S2_CHIR",9.78951876725909,"G2_HYOS",-0.009
"S3_CHIR",4.53153540667502,"G2_HYOS",-0.009
"S1_GAMM",36.39081425863,"G2_HYOS",-0.009
"S2_GAMM",17.7953543701487,"G2_HYOS",-0.009
"S3_GAMM",5.23654337160544,"G2_HYOS",-0.009
"S1_HYOS",48.9783889084767,"G2_BAET",-0.009
"S2_HYOS",13.5029270211246,"G2_BAET",-0.009
"S3_HYOS",0.792170706115116,"G2_BAET",-0.009
"S1_BAET",68.7310800652253,"G2_BAET",-0.009
"S2_BAET",10.6995276706564,"G2_BAET",-0.009
"S3_BAET",1.73030076695972,"G2_BAET",-0.009
"S1_NZMS",18772.172274362,"G2_BAET",-0.009
"S2_NZMS",7501.24605499681,"G2_BAET",-0.009
"S3_NZMS",4289.93985433826,"G2_BAET",-0.009
"S1_CHIR",51.665595877623,"G2_BAET",-0.009
"S2_CHIR",9.72529347681579,"G2_BAET",-0.009
"S3_CHIR",4.47224785083841,"G2_BAET",-0.009
"S1_GAMM",36.5444148269589,"G2_BAET",-0.009
"S2_GAMM",18.3074436128761,"G2_BAET",-0.009
"S3_GAMM",5.35728575312313,"G2_BAET",-0.009
"S1_HYOS",51.9165966015628,"G2_NZMS",-0.009
"S2_HYOS",15.1322345123947,"G2_NZMS",-0.009
"S3_HYOS",0.606792383711972,"G2_NZMS",-0.009
"S1_BAET",56.4888063413938,"G2_NZMS",-0.009
"S2_BAET",9.52348536563447,"G2_NZMS",-0.009
"S3_BAET",2.00804253410203,"G2_NZMS",-0.009
"S1_NZMS",19519.6723940689,"G2_NZMS",-0.009
"S2_NZMS",7823.23502918433,"G2_NZMS",-0.009
"S3_NZMS",3978.27611378619,"G2_NZMS",-0.009
"S1_CHIR",51.3790598519174,"G2_NZMS",-0.009
"S2_CHIR",9.80888159249377,"G2_NZMS",-0.009
"S3_CHIR",4.38794530798712,"G2_NZMS",-0.009
"S1_GAMM",35.7189030201529,"G2_NZMS",-0.009
"S2_GAMM",18.3201135589983,"G2_NZMS",-0.009
"S3_GAMM",5.39869454202942,"G2_NZMS",-0.009
"S1_HYOS",49.4625012523445,"G2_GAMM",-0.009
"S2_HYOS",13.7397377728926,"G2_GAMM",-0.009
"S3_HYOS",0.755665630798476,"G2_GAMM",-0.009
"S1_BAET",58.4698238720519,"G2_GAMM",-0.009
"S2_BAET",9.75945311898281,"G2_GAMM",-0.009
"S3_BAET",2.03107872485488,"G2_GAMM",-0.009
"S1_NZMS",18795.700700764,"G2_GAMM",-0.009
"S2_NZMS",7507.74995922537,"G2_GAMM",-0.009
"S3_NZMS",4293.80545507635,"G2_GAMM",-0.009
"S1_CHIR",50.9316772343095,"G2_GAMM",-0.009
"S2_CHIR",9.77315923925494,"G2_GAMM",-0.009
"S3_CHIR",4.44052155994846,"G2_GAMM",-0.009
"S1_GAMM",35.9431796749521,"G2_GAMM",-0.009
"S2_GAMM",17.9437086347641,"G2_GAMM",-0.009
"S3_GAMM",5.13962363801207,"G2_GAMM",-0.009
"S1_HYOS",49.0333659400346,"G2_CHIR",-0.009
"S2_HYOS",13.5132265973277,"G2_CHIR",-0.009
"S3_HYOS",0.792170892996895,"G2_CHIR",-0.009
"S1_BAET",54.9992866831606,"G2_CHIR",-0.009
"S2_BAET",9.44930846172764,"G2_CHIR",-0.009
"S3_BAET",2.27197821169056,"G2_CHIR",-0.009
"S1_NZMS",18772.5867674572,"G2_CHIR",-0.009
"S2_NZMS",7501.22561126237,"G2_CHIR",-0.009
"S3_NZMS",4289.89463743143,"G2_CHIR",-0.009
"S1_CHIR",51.6777128181326,"G2_CHIR",-0.009
"S2_CHIR",9.72515437103556,"G2_CHIR",-0.009
"S3_CHIR",4.46080367811155,"G2_CHIR",-0.009
"S1_GAMM",36.5585796566011,"G2_CHIR",-0.009
"S2_GAMM",18.3110093012453,"G2_CHIR",-0.009
